n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,val_rmse,val_acc
300,4,0.05,0.7,0.7,1,0.0,0.638117928766359,0.5749724081939128
300,6,0.1,0.7,0.7,1,1.0,0.6385933247153469,0.5950020143349999
300,5,0.1,0.7,0.85,3,1.0,0.6386412497493428,0.5698971768463712
500,6,0.1,0.7,0.7,1,1.0,0.6387264400363207,0.5948969824550383
300,6,0.1,0.7,0.85,1,1.0,0.6390640067279223,0.5519499835092583
500,6,0.05,0.7,0.7,1,0.0,0.6396068796915687,0.5749707386664067
500,4,0.05,0.7,0.85,3,0.0,0.6396301550062988,0.5484978377995545
300,6,0.05,0.7,0.7,1,0.0,0.6396369598055577,0.5733800836699052
300,4,0.05,0.7,0.85,1,1.0,0.639765684043203,0.5495486181888576
300,4,0.05,0.7,0.85,3,0.0,0.6397826377025818,0.5444546392247759
300,6,0.1,0.85,1.0,3,0.1,0.6399941704998074,0.503214226506788
500,6,0.1,0.85,1.0,3,0.1,0.640085333455991,0.5032662497116605
300,5,0.1,0.7,1.0,1,0.1,0.6403059287138679,0.569073769225585
300,4,0.05,1.0,0.85,1,0.1,0.640427269555345,0.5841060256621229
500,4,0.05,0.7,0.85,1,1.0,0.6405642600608595,0.5547631111732678
500,4,0.1,1.0,0.7,3,0.1,0.6406728472563418,0.6056776958858371
300,4,0.1,0.7,0.85,5,0.0,0.6409348344956528,0.5735280165732631
300,5,0.05,0.7,1.0,1,1.0,0.6411230948629132,0.5719783919303456
300,4,0.05,0.85,0.85,1,0.1,0.6412760913675689,0.5651776888663741
500,4,0.05,1.0,0.85,1,0.1,0.6413437112087518,0.5770938317295378
500,5,0.1,0.7,1.0,1,0.1,0.6413495484185227,0.5684017933185139
500,5,0.1,1.0,0.7,1,0.0,0.6414086881603641,0.5328220599096034
300,5,0.1,1.0,0.7,1,0.0,0.6414308928103307,0.532829765791691
500,6,0.1,0.7,0.7,5,0.1,0.6414363233039816,0.5814191241403622
300,6,0.1,0.7,0.7,5,0.1,0.6415667053173054,0.5805740821025341
500,4,0.05,0.7,0.7,1,0.0,0.6417129359092936,0.5741742278112109
300,4,0.05,0.7,0.7,1,0.1,0.641816547745295,0.5941794273518173
500,4,0.1,0.7,0.85,5,0.0,0.6419372624410963,0.5728486548308
300,5,0.05,0.7,0.7,1,1.0,0.6420381835148182,0.5485300608226289
500,4,0.05,0.7,0.85,3,0.1,0.6421600098684374,0.5822722104176773
500,5,0.05,0.7,1.0,1,1.0,0.642378359828268,0.5738402476639787
300,4,0.05,0.7,0.85,3,0.1,0.6425163684587292,0.5719235959390023
300,6,0.1,0.7,0.85,5,1.0,0.6426688243546397,0.5161987999261612
300,4,0.05,0.85,0.85,3,0.0,0.643796783774366,0.5583543849696857
300,6,0.1,0.85,1.0,3,1.0,0.6439307343773675,0.6095098661316685
300,4,0.1,1.0,0.7,1,0.0,0.6439559384111135,0.5825768818098469
500,4,0.1,1.0,0.7,1,0.0,0.6440252516399535,0.5826454152942487
500,6,0.1,0.7,0.85,5,1.0,0.6441466966560451,0.5168379787228364
300,4,0.05,0.85,0.85,1,0.0,0.6442434712938765,0.5626723365519124
500,4,0.05,0.85,0.85,1,0.1,0.644309769492253,0.5612987627190755
500,6,0.1,0.85,1.0,3,1.0,0.6444852741207974,0.6123473325434919
500,4,0.05,1.0,0.7,3,1.0,0.6444953222123914,0.589933429304978
500,4,0.1,1.0,1.0,1,0.1,0.6445136969243368,0.6036278996912853
300,4,0.05,0.85,0.85,3,0.1,0.6445849834433832,0.5691280697125447
300,6,0.05,0.7,0.7,5,0.0,0.6446183800603391,0.565216097246211
